tag	files	nmin	navg	nmax
_chem_comp.formula	99.996	1	1.00	1
_chem_comp.formula_weight	100.000	1	1.00	1
_chem_comp.id	100.000	1	1.00	1
_chem_comp.mon_nstd_parent_comp_id	5.765	1	1.00	1
_chem_comp.name	99.996	1	1.00	1
_chem_comp.one_letter_code	5.323	1	1.00	1
_chem_comp.pdbx_ambiguous_flag	95.185	1	1.00	1
_chem_comp.pdbx_formal_charge	100.000	1	1.00	1
_chem_comp.pdbx_ideal_coordinates_details	74.961	1	1.00	1
_chem_comp.pdbx_ideal_coordinates_missing_flag	100.000	1	1.00	1
_chem_comp.pdbx_initial_date	100.000	1	1.00	1
_chem_comp.pdbx_model_coordinates_db_code	92.467	1	1.00	1
_chem_comp.pdbx_model_coordinates_details	0.605	1	1.00	1
_chem_comp.pdbx_model_coordinates_missing_flag	100.000	1	1.00	1
_chem_comp.pdbx_modified_date	100.000	1	1.00	1
_chem_comp.pdbx_processing_site	100.000	1	1.00	1
_chem_comp.pdbx_release_status	100.000	1	1.00	1
_chem_comp.pdbx_replaced_by	1.334	1	1.00	1
_chem_comp.pdbx_replaces	1.031	1	1.00	1
_chem_comp.pdbx_subcomponent_list	1.791	1	1.00	1
_chem_comp.pdbx_synonyms	19.995	1	1.00	1
_chem_comp.pdbx_type	98.918	1	1.00	1
_chem_comp.three_letter_code	99.655	1	1.00	1
_chem_comp.type	100.000	1	1.00	1
_chem_comp_atom.alt_atom_id	99.996	1	46.14	305
_chem_comp_atom.atom_id	99.996	1	46.14	305
_chem_comp_atom.charge	99.988	1	46.13	305
_chem_comp_atom.comp_id	99.996	1	46.14	305
_chem_comp_atom.model_Cartn_x	99.876	1	45.77	305
_chem_comp_atom.model_Cartn_y	99.876	1	45.77	305
_chem_comp_atom.model_Cartn_z	99.876	1	45.77	305
_chem_comp_atom.pdbx_align	99.996	1	46.14	305
_chem_comp_atom.pdbx_aromatic_flag	99.996	1	46.14	305
_chem_comp_atom.pdbx_component_atom_id	99.996	1	46.14	305
_chem_comp_atom.pdbx_component_comp_id	99.996	1	46.14	305
_chem_comp_atom.pdbx_leaving_atom_flag	99.996	1	46.14	305
_chem_comp_atom.pdbx_model_Cartn_x_ideal	98.585	1	46.04	305
_chem_comp_atom.pdbx_model_Cartn_y_ideal	98.585	1	46.04	305
_chem_comp_atom.pdbx_model_Cartn_z_ideal	98.585	1	46.04	305
_chem_comp_atom.pdbx_ordinal	99.996	1	46.14	305
_chem_comp_atom.pdbx_stereo_config	99.996	1	46.14	305
_chem_comp_atom.type_symbol	99.996	1	46.14	305
_chem_comp_bond.atom_id_1	99.585	1	48.00	308
_chem_comp_bond.atom_id_2	99.585	1	48.00	308
_chem_comp_bond.comp_id	99.585	1	48.00	308
_chem_comp_bond.pdbx_aromatic_flag	99.585	1	48.00	308
_chem_comp_bond.pdbx_ordinal	99.585	1	48.00	308
_chem_comp_bond.pdbx_stereo_config	99.585	1	48.00	308
_chem_comp_bond.value_order	99.585	1	48.00	308
_pdbx_chem_comp_audit.action_type	100.000	1	2.29	10
_pdbx_chem_comp_audit.comp_id	100.000	1	2.29	10
_pdbx_chem_comp_audit.date	100.000	1	2.29	10
_pdbx_chem_comp_audit.processing_site	100.000	1	2.28	10
_pdbx_chem_comp_descriptor.comp_id	99.996	1	6.86	8
_pdbx_chem_comp_descriptor.descriptor	99.996	1	6.86	8
_pdbx_chem_comp_descriptor.program	99.996	1	6.86	8
_pdbx_chem_comp_descriptor.program_version	99.996	1	6.86	8
_pdbx_chem_comp_descriptor.type	99.996	1	6.86	8
_pdbx_chem_comp_feature.comp_id	0.016	1	2.50	5
_pdbx_chem_comp_feature.source	0.016	1	2.50	5
_pdbx_chem_comp_feature.type	0.016	1	2.50	5
_pdbx_chem_comp_feature.value	0.016	1	2.50	5
_pdbx_chem_comp_identifier.comp_id	98.647	1	1.85	3
_pdbx_chem_comp_identifier.identifier	98.647	1	1.85	3
_pdbx_chem_comp_identifier.program	98.647	1	1.85	3
_pdbx_chem_comp_identifier.program_version	98.647	1	1.85	3
_pdbx_chem_comp_identifier.type	98.647	1	1.85	3
